ID,Bay,Indiv,Farm,Distance,Lat,Lng,Date,State,Ploidy,Culture,Valve,Shell_g,Tissue_g,x,y,z,Thick,Infested
2020 Winter Carr Inlet,Henderson Inlet,76,NIS,36.3,47.1107432,-122.8465156,2/3/20,WA,diploid,NA,R,24.6,NA,5.3,9.9,0.4,NA,0
2020 Winter Carr Inlet,Henderson Inlet,76,NIS,36.3,47.1107432,-122.8465156,2/3/20,WA,diploid,NA,L,46.88,NA,6,11.1,2.9,NA,NA
2020 Winter Carr Inlet,Henderson Inlet,77,NIS,36.3,47.1107432,-122.8465156,2/3/20,WA,diploid,NA,R,14.29,15.93,4.9,8.6,0.4,NA,0
2020 Winter Carr Inlet,Henderson Inlet,77,NIS,36.3,47.1107432,-122.8465156,2/3/20,WA,diploid,NA,L,28.06,NA,5.8,9.6,2.1,NA,NA
2020 Winter Carr Inlet,Henderson Inlet,78,NIS,36.3,47.1107432,-122.8465156,2/3/20,WA,diploid,NA,R,14.64,17.31,4.7,8.9,0.3,NA,1
2020 Winter Carr Inlet,Henderson Inlet,78,NIS,36.3,47.1107432,-122.8465156,2/3/20,WA,diploid,NA,L,26.78,NA,5.3,9.9,1.9,NA,NA
2020 Winter Carr Inlet,Henderson Inlet,79,NIS,36.3,47.1107432,-122.8465156,2/3/20,WA,diploid,NA,R,20.55,22.24,5.3,9.6,0.3,NA,0
2020 Winter Carr Inlet,Henderson Inlet,79,NIS,36.3,47.1107432,-122.8465156,2/3/20,WA,diploid,NA,L,29.8,NA,6.1,10.3,3.1,NA,NA
2020 Winter Carr Inlet,Henderson Inlet,80,NIS,36.3,47.1107432,-122.8465156,2/3/20,WA,diploid,NA,R,13.01,14.36,5.9,7.8,0.2,NA,0
2020 Winter Carr Inlet,Henderson Inlet,80,NIS,36.3,47.1107432,-122.8465156,2/3/20,WA,diploid,NA,L,26.6,NA,6.6,9,2.4,NA,NA
2020 Winter Carr Inlet,Henderson Inlet,81,NIS,36.3,47.1107432,-122.8465156,2/3/20,WA,diploid,NA,R,19.75,20.96,5.4,8.5,0.4,NA,0
2020 Winter Carr Inlet,Henderson Inlet,81,NIS,36.3,47.1107432,-122.8465156,2/3/20,WA,diploid,NA,L,31.55,NA,6.3,9.5,2.7,NA,NA
2020 Winter Carr Inlet,Henderson Inlet,82,NIS,36.3,47.1107432,-122.8465156,2/3/20,WA,diploid,NA,R,10.22,13.66,5.2,7.5,0.3,NA,1
2020 Winter Carr Inlet,Henderson Inlet,82,NIS,36.3,47.1107432,-122.8465156,2/3/20,WA,diploid,NA,L,22.1,NA,5.8,8.4,2.1,NA,NA
2020 Winter Carr Inlet,Henderson Inlet,83,NIS,36.3,47.1107432,-122.8465156,2/3/20,WA,diploid,NA,R,18.56,17.83,5.3,8,0.4,NA,0
